model,intervention,label,n,acc,acc_drop,acc_ate,acc_backadj,acc_collider_bias,acc_correlation,acc_det-counterfactual,acc_drop,acc_ett,acc_exp_away,acc_marginal,acc_nde,acc_nie
base,67_replace_scenario_words_with_random_words_corrected,random_words,288,0.5034722222222222,0.03819444444444442,0.6153846153846154,0.5555555555555556,0.4,0.41025641025641024,0.38461538461538464,0.03819444444444442,0.6363636363636364,0.4,0.5333333333333333,0.3333333333333333,0.4782608695652174
base,68_replace_scenario_words_with_consistent_numbers,words_to_nums,288,0.4756944444444444,0.06597222222222221,0.5641025641025641,0.6,0.2,0.41025641025641024,0.38461538461538464,0.06597222222222221,0.36363636363636365,0.4,0.4444444444444444,0.7333333333333333,0.4782608695652174
base,69_scenario_words_to_random_words_and_percentages_to_x,rand_words+mask_nums,288,0.4895833333333333,0.052083333333333315,0.38461538461538464,0.5777777777777777,0.2,0.5128205128205128,0.48717948717948717,0.052083333333333315,0.5454545454545454,0.6,0.4666666666666667,0.4666666666666667,0.4782608695652174
base,70_scenario_words_to_random_words_and_mask_polarity,rand_words+mask_pol,288,0.5902777777777778,-0.04861111111111116,0.5384615384615384,0.7333333333333333,0.2,0.5897435897435898,0.5384615384615384,-0.04861111111111116,0.6060606060606061,0.6,0.5777777777777777,0.6,0.5652173913043478
base,71_scenario_words_to_random_words_and_percentages_to_x_and_mask_polarity,full_ablation,288,0.4965277777777778,0.04513888888888884,0.46153846153846156,0.7333333333333333,0.4,0.358974358974359,0.358974358974359,0.04513888888888884,0.42424242424242425,0.8,0.5333333333333333,0.6666666666666666,0.43478260869565216
base,74_swap_percentages_within_graph_group_and_invert_answers,swap_pct+inv_ans,288,0.5138888888888888,0.02777777777777779,0.8717948717948718,0.3333333333333333,0.4,0.41025641025641024,0.38461538461538464,0.02777777777777779,0.5757575757575758,0.2,0.5777777777777777,0.4666666666666667,0.5652173913043478
base,75_swap_percentages_within_graph_group_and_invert_polarity,swap_pct+inv_pol,288,0.5868055555555556,-0.04513888888888895,0.7692307692307693,0.5777777777777777,0.4,0.6153846153846154,0.6410256410256411,-0.04513888888888895,0.48484848484848486,0.2,0.4888888888888889,0.7333333333333333,0.5217391304347826
base,77_remove_all_filler_words,no_filler,288,0.5659722222222222,-0.02430555555555558,0.7948717948717948,0.5333333333333333,0.4,0.5641025641025641,0.38461538461538464,-0.02430555555555558,0.6666666666666666,0.4,0.4888888888888889,0.6666666666666666,0.5652173913043478
base,7_append_1000_high_density_unicode_chars,unicode_noise,288,0.5555555555555556,-0.01388888888888895,0.5641025641025641,0.7555555555555555,0.2,0.5641025641025641,0.48717948717948717,-0.01388888888888895,0.5757575757575758,0.2,0.4222222222222222,0.6666666666666666,0.5652173913043478
finetuned,original,original,288,0.9201388888888888,0.0,1.0,1.0,1.0,0.8717948717948718,0.8461538461538461,0.0,1.0,1.0,0.8444444444444444,0.7333333333333333,0.9565217391304348
finetuned,13_remove_every_other_word,del_alt_words,288,0.5173611111111112,0.4027777777777777,0.717948717948718,0.5333333333333333,0.4,0.5128205128205128,0.46153846153846156,0.4027777777777777,0.3333333333333333,0.6,0.5777777777777777,0.4666666666666667,0.43478260869565216
finetuned,1_insert_spaces_between_chars_without_whitespace,char_spaces,288,0.5069444444444444,0.4131944444444444,0.48717948717948717,0.5333333333333333,0.8,0.41025641025641024,0.41025641025641024,0.4131944444444444,0.5151515151515151,0.8,0.4444444444444444,0.8,0.6086956521739131
finetuned,22_insert_incorrect_answer_once_per_sentence,insert_wrong_ans,288,0.7881944444444444,0.13194444444444442,0.6666666666666666,0.9777777777777777,1.0,0.717948717948718,0.6666666666666666,0.13194444444444442,0.8787878787878788,1.0,0.7555555555555555,0.6666666666666666,0.8695652173913043
finetuned,33_insert_rare_emoji_blocks,emoji_blocks,288,0.4895833333333333,0.4305555555555555,0.4358974358974359,0.5333333333333333,0.2,0.5384615384615384,0.4358974358974359,0.4305555555555555,0.5151515151515151,0.8,0.4222222222222222,0.6,0.5217391304347826
finetuned,34_polarity_decrease_to_not_decrease_flip,polarity_not_dec,288,0.375,0.5451388888888888,0.5641025641025641,0.0,0.0,0.38461538461538464,0.15384615384615385,0.5451388888888888,0.3333333333333333,0.4,0.6888888888888889,0.6666666666666666,0.4782608695652174
finetuned,35_polarity_decrease_to_increase_flip,polarity_increase,288,0.7916666666666666,0.1284722222222222,0.9743589743589743,1.0,0.0,0.8717948717948718,0.15384615384615385,0.1284722222222222,1.0,1.0,0.7333333333333333,0.8,0.9565217391304348
finetuned,37_polarity_decrease_to_not_not_decrease_same,polarity_notnot,288,0.7152777777777778,0.20486111111111105,0.5384615384615384,1.0,1.0,0.7948717948717948,0.8461538461538461,0.20486111111111105,0.9090909090909091,0.6,0.4,0.4666666666666667,0.5652173913043478
finetuned,62_intervention_word_order,shuffle_words,288,0.65625,0.26388888888888884,0.8461538461538461,0.5555555555555556,1.0,0.6153846153846154,0.48717948717948717,0.26388888888888884,0.7575757575757576,0.4,0.6,0.8,0.7391304347826086
finetuned,66_set_percentages_to_x,mask_numbers,288,0.7291666666666666,0.1909722222222222,0.4358974358974359,1.0,1.0,0.7948717948717948,0.8461538461538461,0.1909722222222222,0.7575757575757576,1.0,0.5777777777777777,0.4666666666666667,0.6956521739130435
finetuned,67_replace_scenario_words_with_random_words_corrected,random_words,288,0.7534722222222222,0.16666666666666663,0.8974358974358975,0.9333333333333333,1.0,0.6410256410256411,0.48717948717948717,0.16666666666666663,0.8787878787878788,0.6,0.6888888888888889,0.6666666666666666,0.782608695652174
finetuned,68_replace_scenario_words_with_consistent_numbers,words_to_nums,288,0.8125,0.10763888888888884,1.0,0.9555555555555556,1.0,0.6153846153846154,0.6923076923076923,0.10763888888888884,0.9393939393939394,0.8,0.7333333333333333,0.6666666666666666,0.782608695652174
finetuned,69_scenario_words_to_random_words_and_percentages_to_x,rand_words+mask_nums,288,0.6180555555555556,0.30208333333333326,0.4358974358974359,0.9333333333333333,1.0,0.4358974358974359,0.6410256410256411,0.30208333333333326,0.7272727272727273,0.8,0.4888888888888889,0.6,0.5652173913043478
finetuned,70_scenario_words_to_random_words_and_mask_polarity,rand_words+mask_pol,288,0.5694444444444444,0.3506944444444444,0.5384615384615384,0.8666666666666667,1.0,0.4358974358974359,0.46153846153846156,0.3506944444444444,0.6060606060606061,0.4,0.5111111111111111,0.6,0.43478260869565216
finetuned,71_scenario_words_to_random_words_and_percentages_to_x_and_mask_polarity,full_ablation,288,0.5659722222222222,0.35416666666666663,0.38461538461538464,0.8666666666666667,1.0,0.4358974358974359,0.48717948717948717,0.35416666666666663,0.5454545454545454,0.6,0.5777777777777777,0.6666666666666666,0.4782608695652174
finetuned,74_swap_percentages_within_graph_group_and_invert_answers,swap_pct+inv_ans,288,0.6388888888888888,0.28125,1.0,0.0,1.0,0.6410256410256411,0.28205128205128205,0.28125,1.0,1.0,0.8444444444444444,0.6666666666666666,0.782608695652174
finetuned,75_swap_percentages_within_graph_group_and_invert_polarity,swap_pct+inv_pol,288,0.7222222222222222,0.19791666666666663,1.0,0.044444444444444446,1.0,0.6410256410256411,0.8461538461538461,0.19791666666666663,1.0,1.0,0.8222222222222222,0.8,0.7391304347826086
finetuned,77_remove_all_filler_words,no_filler,288,0.6145833333333334,0.30555555555555547,0.9743589743589743,0.37777777777777777,0.6,0.5641025641025641,0.4358974358974359,0.30555555555555547,0.7878787878787878,0.8,0.4666666666666667,0.6666666666666666,0.8260869565217391
finetuned,7_append_1000_high_density_unicode_chars,unicode_noise,288,0.8819444444444444,0.03819444444444442,1.0,1.0,1.0,0.8717948717948718,0.7948717948717948,0.03819444444444442,0.9090909090909091,0.6,0.7333333333333333,0.8,0.9565217391304348
